window	num_games	average_win_rate	standard_deviation
589	104349	0.506277971	0.1548339845
590	104087	0.5060824118	0.1548508299
591	103850	0.5063880597	0.154788817
592	103600	0.5063754826	0.1546168197
593	103354	0.5060926524	0.1548524131
594	103129	0.5061408527	0.1553969511
595	102855	0.5058373438	0.1553885318
596	102630	0.5056864465	0.1551506605
597	102389	0.5057506177	0.1552373158
598	102127	0.5061403938	0.1552309817
599	101898	0.506013857	0.1550517591
600	101672	0.5057960894	0.1550623183
601	101462	0.5056661607	0.1549188416
602	101229	0.5055981981	0.1546532488
603	100972	0.5059085687	0.1550218074
604	100755	0.5062359188	0.154997858
605	100540	0.5063855182	0.1549411773
606	100319	0.5065700416	0.1550705881
607	100061	0.5064120886	0.1550206466
608	99828	0.5062387306	0.1548528002
609	99564	0.506371781	0.1547500853
610	99333	0.5062949876	0.1549850096
611	99102	0.5061603197	0.1551562793
612	98869	0.5061667459	0.1554405706
613	98622	0.5061477155	0.1555553519
614	98396	0.505741087	0.1552261411
615	98164	0.5054989609	0.1549875635
616	97910	0.505609233	0.1550102678
617	97707	0.5054049352	0.1547708702
618	97468	0.5054058768	0.154805039
619	97249	0.5056679246	0.1549465402
620	97014	0.505939349	0.1548148945
621	96789	0.5059324923	0.1544336464
622	96565	0.5057049656	0.1546492796
623	96342	0.5058178157	0.1546947564
624	96132	0.5059615945	0.1544763837
625	95886	0.5059883612	0.1545445007
626	95668	0.5058901618	0.15434065
627	95425	0.5060172911	0.1545395477
628	95205	0.5059377134	0.154549154
629	94978	0.5056297248	0.1546631668
630	94766	0.5056887491	0.1545387581
631	94539	0.5060874348	0.1546518162
632	94316	0.5062831333	0.1547917305
633	94086	0.5060837957	0.1546293219
634	93850	0.5060511454	0.1544334536
635	93624	0.5061640178	0.1545879278
636	93405	0.5061067395	0.1545365839
637	93193	0.5057246789	0.1544977662
638	92979	0.5055292055	0.1547641433
639	92767	0.5057962422	0.1547022705
640	92541	0.5059325056	0.1548341793
641	92313	0.5057055886	0.1545984964
642	92102	0.5059271243	0.1548732946
643	91885	0.5057136638	0.1550036231
644	91681	0.5058223623	0.1551510815
645	91456	0.5058257523	0.1549211703
646	91255	0.506104871	0.154761831
647	91038	0.5065598981	0.154509335
648	90836	0.5069344753	0.1545314894
649	90624	0.5067719368	0.1545698531
650	90433	0.5067818164	0.1546149164
651	90218	0.5066660755	0.1548806578
652	89986	0.5063798813	0.1546444711
653	89778	0.5064626078	0.1547502206
654	89564	0.5061564914	0.154704749
655	89360	0.5062097135	0.1544811192
656	89143	0.5059365289	0.1547869957
657	88936	0.5058277863	0.1546376656
658	88714	0.5056901955	0.1547180751
659	88488	0.5056007594	0.1548147015
660	88274	0.5054919908	0.1546068322
661	88090	0.5058531048	0.1543578255
662	87857	0.5059949691	0.1544699356
663	87663	0.5059181182	0.1542780422
664	87462	0.5060140404	0.1545280007
665	87259	0.5057014176	0.1544806909
666	87059	0.5057340424	0.1546344139
667	86850	0.5057720207	0.1543495829
668	86659	0.5057051201	0.1546189861
669	86462	0.5056013046	0.1544673479
670	86268	0.5053878611	0.1544466084
671	86056	0.5053128196	0.1546042375
672	85831	0.5052766483	0.1548048364
673	85627	0.50551228	0.1546715043
674	85412	0.5053481946	0.1547805525
675	85217	0.5053663002	0.1548188598
676	85002	0.5051998776	0.1550557232
677	84835	0.5053044145	0.1553863088
678	84640	0.5054395085	0.155301541
679	84443	0.5054415404	0.1552521711
680	84223	0.5054937487	0.1550195501
681	84052	0.5057642888	0.1550916175
682	83871	0.5056002671	0.1552827719
683	83675	0.5055141918	0.1555051236
684	83467	0.5056261756	0.155280455
685	83281	0.5055739004	0.1551643995
686	83074	0.5055528806	0.1554426419
687	82882	0.5057274197	0.155243884
688	82669	0.5051288875	0.1549712245
689	82473	0.5054248057	0.1548677054
690	82278	0.5055774326	0.1546192939
691	82086	0.5056002242	0.1546096509
692	81899	0.5063285266	0.1547511245
693	81698	0.5062278146	0.1550330386
694	81519	0.5060476699	0.154804574
695	81314	0.5060075756	0.1544956137
696	81121	0.506010774	0.1545107948
697	80913	0.5058902772	0.1545663464
698	80708	0.5063438569	0.1546022891
699	80506	0.5060865029	0.1547385673
700	80332	0.5061793557	0.1547297667
701	80136	0.5057826695	0.1546087556
702	79936	0.5051816453	0.1545810087
703	79729	0.5051950984	0.1547643038
704	79518	0.5055257929	0.1544665191
705	79317	0.5057453005	0.1545422338
706	79134	0.5057042485	0.1547115619
707	78952	0.5055388084	0.1547540892
708	78759	0.5052286088	0.1547853089
709	78581	0.5055445973	0.1545455466
710	78404	0.5054946176	0.1544508664
711	78202	0.5054397586	0.1548713663
712	78036	0.5055576913	0.1551514165
713	77862	0.5056728571	0.1546943507
714	77669	0.5056637783	0.154504169
715	77471	0.5057285952	0.1548965709
716	77286	0.5054809409	0.1549616844
717	77116	0.5056538202	0.1550193678
718	76939	0.5059137758	0.1552760417
719	76737	0.5060896308	0.1550864838
720	76554	0.5059147791	0.1552152556
721	76373	0.506051877	0.1552819535
722	76201	0.5062269524	0.1552193951
723	76022	0.5059666939	0.1547224531
724	75832	0.5061702184	0.1544878007
725	75665	0.506004097	0.1545350626
726	75466	0.5061034108	0.1544801215
727	75292	0.5060378261	0.1546622318
728	75115	0.5058350529	0.154633445
729	74941	0.5054909862	0.1547300014
